1696737360.3006644,0,0
1696737360.3006816,0,0
1696737360.3049521,0,0
1696737368.0252268,0,0
1696737368.0252683,0,0
1696737368.0253804,0,0
1696737368.0253932,0,0
1696737368.0254009,0,0
1696737368.025414,0,0
1696737368.025422,0,0
1696737368.033852,0,0
1696737368.0338933,0,0
1696737368.3147707,18888882,3275
1696737368.314822,18888882,3275
1696737368.3325555,18888882,10247
1696737368.3326073,18888882,10247
1696737368.3466885,18888882,11243
1696737368.3467355,18888882,11243
1696737368.4292777,18888882,19659
1696737368.429326,18888882,19659
1696737368.435811,18888882,25137
1696737368.4358578,18888882,25137
1696737368.4468663,18888882,35545
1696737368.4469135,18888882,35545
1696737368.5440707,18888882,47689
1696737368.544124,18888882,47689
1696737368.561565,18888882,64073
1696737368.5616167,18888882,64073
1696737368.5617893,18888882,80457
1696737368.5618057,18888882,80457
1696737368.561882,18888882,82207
1696737368.561895,18888882,82207
1696737368.575065,18888882,86255
1696737368.575111,18888882,86255
1696737368.5751772,18888882,90175
1696737368.5751905,18888882,90175
1696737368.6581764,18888882,94223
1696737368.6582296,18888882,94223
1696737368.6583383,18888882,102077
1696737368.6583543,18888882,102077
1696737368.6589115,18888882,106125
1696737368.6589518,18888882,106125
1696737368.659026,18888882,110045
1696737368.6590407,18888882,110045
1696737368.6595764,18888882,114093
1696737368.6596167,18888882,114093
1696737368.6596918,18888882,118959
1696737368.659706,18888882,118959
1696737368.664947,18888882,123007
1696737368.6649947,18888882,123007
1696737368.665086,18888882,139391
1696737368.665098,18888882,139391
1696737368.6651561,18888882,140323
1696737368.6651676,18888882,140323
1696737368.6767302,18888882,144371
1696737368.6767783,18888882,144371
1696737368.676894,18888882,160755
1696737368.6769073,18888882,160755
1696737368.676988,18888882,173091
1696737368.6769993,18888882,173091
1696737368.6774533,18888882,177139
1696737368.6774883,18888882,177139
1696737368.6775825,18888882,184495
1696737368.6775959,18888882,184495
1696737368.689337,18888882,188543
1696737368.6893837,18888882,188543
1696737368.6894517,18888882,192961
1696737368.689464,18888882,192961
1696737368.7731748,18888882,197009
1696737368.773221,18888882,197009
1696737368.773303,18888882,213393
1696737368.7733142,18888882,213393
1696737368.7733905,18888882,224733
1696737368.7734025,18888882,224733
1696737368.7749472,18888882,228781
1696737368.7749822,18888882,228781
